# QuantStream NSE Simulation Universe
# NOTE: base_price is ONLY a deterministic simulation initialization seed and must NEVER be presented as a current or live market price.
symbol,company_name,exchange,currency,sector,base_price
RELIANCE,Reliance Industries Ltd,NSE,INR,Energy,2950.00
TCS,Tata Consultancy Services Ltd,NSE,INR,Technology,4200.00
INFY,Infosys Ltd,NSE,INR,Technology,1580.00
HDFCBANK,HDFC Bank Ltd,NSE,INR,Financials,1720.00
ICICIBANK,ICICI Bank Ltd,NSE,INR,Financials,1280.00
SBIN,State Bank of India,NSE,INR,Financials,830.00
BHARTIARTL,Bharti Airtel Ltd,NSE,INR,Telecom,1620.00
ITC,ITC Ltd,NSE,INR,FMCG,495.00
KOTAKBANK,Kotak Mahindra Bank Ltd,NSE,INR,Financials,1780.00
LT,Larsen & Toubro Ltd,NSE,INR,Construction,3620.00
HINDUNILVR,Hindustan Unilever Ltd,NSE,INR,FMCG,2750.00
AXISBANK,Axis Bank Ltd,NSE,INR,Financials,1190.00
MARUTI,Maruti Suzuki India Ltd,NSE,INR,Automobile,12450.00
SUNPHARMA,Sun Pharmaceutical Industries Ltd,NSE,INR,Healthcare,1820.00
TATAMOTORS,Tata Motors Ltd,NSE,INR,Automobile,980.00
BAJFINANCE,Bajaj Finance Ltd,NSE,INR,Financials,7200.00
ASIANPAINT,Asian Paints Ltd,NSE,INR,Consumer,2950.00
TITAN,Titan Company Ltd,NSE,INR,Consumer,3550.00
WIPRO,Wipro Ltd,NSE,INR,Technology,530.00
ULTRACEMCO,UltraTech Cement Ltd,NSE,INR,Materials,11200.00
NTPC,NTPC Ltd,NSE,INR,Utilities,410.00
ONGC,Oil & Natural Gas Corporation Ltd,NSE,INR,Energy,320.00
POWERGRID,Power Grid Corporation of India Ltd,NSE,INR,Utilities,340.00
MM,Mahindra & Mahindra Ltd,NSE,INR,Automobile,2780.00
ADANIENT,Adani Enterprises Ltd,NSE,INR,Diversified,3050.00
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,NSE,INR,Infrastructure,1450.00
COALINDIA,Coal India Ltd,NSE,INR,Mining,510.00
TATASTEEL,Tata Steel Ltd,NSE,INR,Metals,155.00
JSWSTEEL,JSW Steel Ltd,NSE,INR,Metals,940.00
HCLTECH,HCL Technologies Ltd,NSE,INR,Technology,1780.00
BAJAJFINSV,Bajaj Finserv Ltd,NSE,INR,Financials,1820.00
TECHM,Tech Mahindra Ltd,NSE,INR,Technology,1610.00
INDUSINDBK,IndusInd Bank Ltd,NSE,INR,Financials,1460.00
NESTLEIND,Nestle India Ltd,NSE,INR,FMCG,2520.00
GRASIM,Grasim Industries Ltd,NSE,INR,Materials,2650.00
CIPLA,Cipla Ltd,NSE,INR,Healthcare,1640.00
DRREDDY,Dr. Reddy's Laboratories Ltd,NSE,INR,Healthcare,6600.00
EICHERMOT,Eicher Motors Ltd,NSE,INR,Automobile,4900.00
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,NSE,INR,Healthcare,6850.00
BPCL,Bharat Petroleum Corporation Ltd,NSE,INR,Energy,360.00
AUBANK,AU Small Finance Bank Limited,NSE,INR,Financial Services,720
BANDHANBNK,Bandhan Bank Limited,NSE,INR,Financial Services,155
BANKBARODA,Bank of Baroda,NSE,INR,Financial Services,250
BANKINDIA,Bank of India,NSE,INR,Financial Services,125
CANBK,Canara Bank,NSE,INR,Financial Services,105
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,NSE,INR,Financial Services,1500
